paciente_id,nombre,apellido_paterno,apellido_materno,fecha_nacimiento,edad,genero,curp,telefono,direccion,localidad,municipio,centro_salud_id,centro_salud_nombre,distancia_centro_km,tiene_seguro_popular,fecha_registro,activo
PAC00022,Anel,Galván,Granados,1960-02-10,65,M,LURE200615MCMCML05,864.024.4428x9912,"Callejón Norte Suárez 311 Edif. 151 , Depto. 411",Vieja Estados Unidos de América,Tzitzio,CS004,Centro de Salud Susupuato,9.3,True,2022-07-18,True
PAC00023,Anabel,Santacruz,Sotelo,2011-07-12,13,F,NUXE750418HGTHRA01,,Privada Guanajuato 671 Interior 421,San Socorro los bajos,Madero,CS004,Centro de Salud Susupuato,13.2,True,2024-08-28,True
PAC00024,Verónica,Gurule,Mejía,1986-11-14,38,F,WAMB931221MMCJSL05,953.816.7165x6998,Continuación Tlaxcala 424 Interior 939,Nueva Tailandia,Tiquicheo,CS001,Centro de Salud Tzitzio,2.2,False,2023-12-30,True
PAC00025,Cristal,Aparicio,Alemán,2002-10-26,22,M,IIUQ320119MQOBFI05,,Periférico Tabasco 421 Interior 256,San Asunción los bajos,Madero,CS005,Hospital Rural Tuzantla,6.3,False,2023-12-30,True
PAC00026,Vanesa,Correa,Paredes,1995-01-01,30,F,QAMS560408HMSCRA07,02278565633,Peatonal Norte Saldaña 250 017,San Juana los altos,Tuzantla,CS002,Centro de Salud Tiquicheo,13.9,True,2023-11-14,True
PAC00027,Itzel,Yáñez,Barrera,1970-08-29,54,F,VITK430728HOCVMV07,105.453.7710x4271,Callejón Cadena 370 831,San Rosalia los altos,Susupuato,CS002,Centro de Salud Tiquicheo,3.1,True,2020-08-29,True
PAC00028,Úrsula,Arteaga,Esquivel,2014-04-05,11,F,FUSJ241206MASMMGA0,(478)409-9342,Avenida Gaytán 801 Interior 126,Nueva Bahrein,Tuzantla,CS004,Centro de Salud Susupuato,19.1,True,2024-10-24,True
PAC00029,Rosario,Olivas,González,1996-10-03,28,M,ZEVC160719MNEZYK01,,"Eje vial Campeche 631 Edif. 078 , Depto. 799",San Héctor los altos,Tiquicheo,CS003,Centro de Salud Madero,5.9,True,2023-05-05,True
PAC00030,Graciela,Casárez,Velasco,2018-11-28,6,M,PUYC150615MTCZXGA3,727.867.5476,Prolongación Sur Torres 996 512,San Alta  Gracia los altos,Susupuato,CS001,Centro de Salud Tzitzio,8.6,True,2024-10-21,True
PAC00031,Caridad,Ferrer,Hidalgo,1993-11-12,31,M,HEZW660524MCCWKD06,191-689-5334x012,Andador Distrito Federal 234 Interior 197,San José Luis los bajos,Susupuato,CS004,Centro de Salud Susupuato,5.9,True,2021-08-19,True
PAC00032,Ángela,Lomeli,Tórrez,1980-05-11,45,F,ROFX400524MTLLKU04,,"Avenida Mejía 570 Edif. 555 , Depto. 945",Nueva Italia,Tuzantla,CS004,Centro de Salud Susupuato,112.5,True,2023-03-03,True
PAC00033,Claudio,Figueroa,Campos,1995-12-21,29,F,KIRC470920HDGKQW00,,Callejón Guajardo 884 390,San Susana los altos,Tiquicheo,CS001,Centro de Salud Tzitzio,12.0,False,2023-06-07,True
PAC00034,Yuridia,Negrón,Pizarro,1980-10-27,44,M,NOYS540815HSLTBL09,,Privada Norte Chacón 493 Interior 617,San Miguel Ángel los bajos,Susupuato,CS001,Centro de Salud Tzitzio,3.4,True,2020-12-19,True
PAC00035,Alejandro,Hernádez,Valdés,1995-10-07,29,M,IOPA130712MQOQHOA4,(453)754-7374x255,Boulevard Países Bajos 031 727,San Tania los altos,Tuzantla,CS002,Centro de Salud Tiquicheo,32.7,True,2023-12-08,True
PAC00036,Samuel,Griego,Menéndez,1994-05-20,31,M,EOFB710123MSLNJO08,1-786-914-0526x65024,"Diagonal Sáenz 581 Edif. 346 , Depto. 616",Nueva Tayikistán,Susupuato,CS003,Centro de Salud Madero,2.8,True,2020-08-31,True
PAC00037,Nancy,Badillo,Uribe,2006-04-21,19,F,RALH620216HBSBKG09,877-044-9829x30591,"Retorno Sur Barrera 869 Edif. 996 , Depto. 413",San Adán los altos,Tuzantla,CS001,Centro de Salud Tzitzio,15.7,False,2021-07-06,True
PAC00038,Gabino,Menchaca,Fajardo,1975-08-30,49,M,IIFT250409HGTMFS07,,Viaducto Yemen 479 707,San María Elena los bajos,Madero,CS002,Centro de Salud Tiquicheo,1.2,True,2022-04-19,True
PAC00039,Noemí,Rico,de la Torre,1996-05-04,29,M,WEDW340422MCLXCL02,572.174.3758,Privada Norte Toro 009 531,San Rocío de la Montaña,Madero,CS001,Centro de Salud Tzitzio,2.5,False,2023-03-14,True
PAC00040,Laura,Medina,Olivas,2021-07-22,3,F,LOWE090416MGRVZIA0,(884)637-2968x94186,Ampliación Quintana Roo 282 515,Nueva Vanuatu,Tuzantla,CS001,Centro de Salud Tzitzio,15.4,True,2025-05-03,True
PAC00041,Noemí,Laureano,Lemus,1964-08-15,60,F,HAIO780911HVZXYV09,744-990-7826x13657,Diagonal Peralta 871 240,Nueva Timor-Leste,Tzitzio,CS002,Centro de Salud Tiquicheo,29.6,True,2024-06-11,True
PAC00042,Pascual,Ríos,Lugo,1982-11-03,42,F,TIRA140725HCHKRP06,(709)675-6428,Peatonal Pabón 899 Interior 259,San Jacinto los altos,Tiquicheo,CS002,Centro de Salud Tiquicheo,15.0,True,2022-07-30,True
PAC00043,Lilia,Oquendo,Noriega,1994-05-01,31,M,MEJV100816MYNWVLA1,(721)954-2790,Diagonal Ávila 799 257,San Mayte los bajos,Tuzantla,CS002,Centro de Salud Tiquicheo,10.6,True,2024-12-06,True
PAC00044,Claudio,Vega,Brito,2010-05-21,15,M,GIDX121013HHGJTI09,+30(3)3668915966,Corredor Sur Ruelas 204 878,San Genaro los altos,Tuzantla,CS001,Centro de Salud Tzitzio,8.5,True,2022-03-03,True
PAC00045,Juan Carlos,Archuleta,Acuña,1969-12-06,55,M,JAWR771124HNTCCR03,,Cerrada Sur Ruiz 392 710,San Benjamín de la Montaña,Tiquicheo,CS002,Centro de Salud Tiquicheo,2.1,True,2021-09-17,True
PAC00046,Rosa,Tello,Mares,2024-07-01,0,F,OIFB580807MYNFDM02,1-172-431-7602x0551,Viaducto Guanajuato 331 Interior 189,San Bernabé los altos,Tuzantla,CS002,Centro de Salud Tiquicheo,5.1,True,2025-02-26,True
PAC00047,Ilse,Santiago,Rivera,2014-12-07,10,F,HARY930805MMCVQO08,299-904-9436,"Calzada Polanco 640 Edif. 489 , Depto. 445",San Ramiro los altos,Madero,CS001,Centro de Salud Tzitzio,7.0,True,2021-07-07,True
PAC00048,Modesto,Casanova,Castellanos,1998-03-08,27,M,XAYG770616HMSDHH01,,Andador Sur Aranda 100 Interior 403,Vieja Etiopía,Tzitzio,CS003,Centro de Salud Madero,43.3,False,2023-06-09,True
PAC00049,Esther,Rocha,Briones,1979-05-08,46,F,JIWO950904HMCLZS05,1-319-948-0914x7295,"Calzada Kazajstán 515 Edif. 133 , Depto. 436",San Amador los altos,Tiquicheo,CS001,Centro de Salud Tzitzio,18.4,True,2022-06-10,True
PAC00050,Eloy,Carmona,de la O,1985-06-08,39,M,FITX880722MTLFSW01,575.273.0759,Eje vial Sur Urbina 266 Interior 210,San Paulina los altos,Susupuato,CS001,Centro de Salud Tzitzio,1.5,True,2022-12-04,True
PAC00051,Porfirio,Medina,Vega,1992-04-17,33,M,XITI101127HCHKXS07,520.134.7634,"Privada Burundi 162 Edif. 595 , Depto. 386",Nueva Samoa,Madero,CS004,Centro de Salud Susupuato,18.0,True,2021-06-05,True
PAC00052,Bianca,Roldán,Arellano,2015-04-04,10,F,FUNU590329MCHTPN04,246.651.3687x4883,Ampliación Norte Rodríquez 965 428,Nueva Kuwait,Tzitzio,CS004,Centro de Salud Susupuato,7.7,True,2023-01-07,True
PAC00053,Rodrigo,Portillo,Cavazos,1985-04-01,40,F,RAOC331123MMSNFY01,335.883.8714x12919,"Corredor Norte Chacón 129 Edif. 922 , Depto. 569",San Indira de la Montaña,Tuzantla,CS004,Centro de Salud Susupuato,5.4,True,2020-09-17,False
PAC00054,Ofelia,Tejada,Guardado,1967-06-02,58,F,QITY100403MTLCJIA6,+05(4)9467367723,"Privada Puebla 320 Edif. 161 , Depto. 771",San José Eduardo de la Montaña,Madero,CS001,Centro de Salud Tzitzio,25.4,True,2021-12-05,True
PAC00055,Úrsula,Barrientos,Galván,2014-03-15,11,M,JUAR651115MCHKFO07,730.775.9718,"Boulevard Oaxaca 944 Edif. 345 , Depto. 763",Vieja Islas Marshall,Tiquicheo,CS004,Centro de Salud Susupuato,42.0,True,2021-05-26,True
PAC00056,Clara,Cornejo,Sanches,1985-09-25,39,F,PEOR091006HSLJYQ00,723-741-2204,Callejón Italia 108 553,Vieja Botswana,Tiquicheo,CS004,Centro de Salud Susupuato,37.2,True,2023-02-28,True
PAC00057,Javier,Salcido,Roque,1968-04-30,57,F,QIAJ250208MZSGSRA4,082.919.1056,Circunvalación Nuevo León 301 Interior 623,Vieja Venezuela,Madero,CS005,Hospital Rural Tuzantla,4.5,True,2024-03-03,True
PAC00058,Laura,Montenegro,Torres,1983-07-13,41,M,HUMH980412MBSNTW07,1-173-722-1857x2529,Corredor Cuellar 170 179,Nueva Timor-Leste,Susupuato,CS005,Hospital Rural Tuzantla,8.4,True,2020-06-08,True
PAC00059,Gerardo,Ojeda,Nevárez,1971-10-05,53,F,EUSK260118HTLFVO08,,"Corredor Perales 310 Edif. 095 , Depto. 908",Vieja Paraguay,Tiquicheo,CS005,Hospital Rural Tuzantla,18.1,True,2023-10-11,True
PAC00060,Claudia,Ocampo,Miranda,2015-12-24,9,F,WOUC780126MSLNZW05,1-595-379-7868x460,Diagonal Colima 655 Interior 330,San Laura los altos,Susupuato,CS002,Centro de Salud Tiquicheo,39.3,True,2025-03-23,False
PAC00061,Luz,Rolón,Guevara,2019-06-16,5,F,XAND751001HTLHMA06,,Eje vial Sur Rocha 287 320,San Sergio los altos,Tzitzio,CS005,Hospital Rural Tuzantla,6.9,True,2023-05-11,True
PAC00062,Silvia,Chapa,Arreola,2014-12-11,10,F,ZEFF290419HSLYKP01,096.680.8970,Viaducto Abrego 741 451,Nueva República Unida de Tanzanía,Tiquicheo,CS003,Centro de Salud Madero,9.7,False,2023-10-18,True
PAC00063,Cynthia,Molina,Meléndez,1993-11-24,31,F,VUFC770606MQRXMU04,+58(5)2376639410,Avenida Guanajuato 631 Interior 280,Vieja Saint Kitts y Nevis,Madero,CS004,Centro de Salud Susupuato,3.2,True,2022-09-12,True
PAC00064,Francisco,Treviño,Murillo,1928-10-10,96,M,SISJ141116MBCQLAA6,1-984-106-8185,"Pasaje Norte Solorzano 385 Edif. 840 , Depto. 640",San Carlota los altos,Tzitzio,CS002,Centro de Salud Tiquicheo,2.9,True,2025-04-15,True
PAC00065,Soledad,Medina,Tirado,1960-04-09,65,F,HUZL370912HHGYLV00,(517)328-8297x7564,Privada Veracruz de Ignacio de la Llave 882 275,Vieja Líbano,Tiquicheo,CS005,Hospital Rural Tuzantla,32.3,True,2024-04-29,True
PAC00066,Caridad,Perales,Fernández,1984-11-17,40,F,LECJ671202MTCHJE09,(480)991-5530,Pasaje Alfaro 923 Interior 052,Nueva Nigeria,Madero,CS001,Centro de Salud Tzitzio,62.0,True,2024-09-06,True
PAC00067,Pilar,Delgado,Ulibarri,1969-11-19,55,F,JIZD160221MCSGKVA8,648-760-9487x9616,"Calzada Guatemala 903 Edif. 507 , Depto. 180",San Enrique de la Montaña,Susupuato,CS005,Hospital Rural Tuzantla,11.2,True,2024-08-22,True
PAC00068,Dulce María,Rojo,Anguiano,1994-11-22,30,F,RAOL230605MSLZPD05,1-933-470-5963x400,Avenida Sur Arriaga 055 682,San Ana de la Montaña,Susupuato,CS001,Centro de Salud Tzitzio,40.6,False,2020-11-26,True
PAC00069,Ariadna,Munguía,Vigil,1974-10-22,50,M,UOWJ880424MCLGCB01,(111)858-7089x5367,Periférico Norte Puga 165 677,Vieja Islandia,Susupuato,CS003,Centro de Salud Madero,18.8,False,2023-11-02,True
PAC00070,Esparta,Colunga,Ballesteros,1982-06-02,43,F,XUNS230613HTCZFP02,820.918.8088x56857,Viaducto Dominicana 261 001,San Ángela los altos,Madero,CS002,Centro de Salud Tiquicheo,5.6,False,2025-04-19,True
PAC00071,Mariano,Rojas,Angulo,2004-02-13,21,F,VIRU140226MCCQLGA4,261-840-3572x838,"Calzada Dominicana 048 Edif. 251 , Depto. 322",San Ángela de la Montaña,Susupuato,CS001,Centro de Salud Tzitzio,18.8,False,2023-11-23,True
PAC00072,Silvano,Durán,Peña,1994-01-03,31,M,HEZS190925HCSWJS08,,Avenida Sur Navarro 787 Interior 980,Vieja Alemania,Tiquicheo,CS004,Centro de Salud Susupuato,77.1,True,2025-01-26,True
PAC00073,Raúl,Carrillo,Fonseca,1959-03-03,66,F,EERI701204HCLBGA09,+21(8)2928040713,Viaducto Vallejo 615 Interior 547,San Caridad los bajos,Tiquicheo,CS005,Hospital Rural Tuzantla,11.7,True,2021-11-02,False
PAC00074,Daniel,Barajas,Mora,2011-02-15,14,F,XAPO380813MNEXFO00,315.845.0506x497,Pasaje Cazares 427 Interior 222,San Barbara los altos,Tuzantla,CS003,Centro de Salud Madero,79.6,False,2020-08-05,True
PAC00075,Luis Miguel,Carrera,Molina,1966-03-07,59,F,AAPM230206MDFTSC02,746-517-0902x0022,Avenida Guerrero 267 341,San Eugenia los altos,Madero,CS002,Centro de Salud Tiquicheo,0.5,True,2022-11-29,True
PAC00076,Eric,León,Sáenz,2008-02-10,17,F,TUJO310907MDFFZU08,(357)297-8601x4249,Corredor Sur Espinal 194 218,San Ana de la Montaña,Tuzantla,CS002,Centro de Salud Tiquicheo,32.7,True,2022-09-03,True
PAC00077,Alejandro,Menéndez,Chapa,1986-08-19,38,F,OONX490521HPLRNV08,,"Avenida Hidalgo 881 Edif. 128 , Depto. 171",Vieja Samoa,Tiquicheo,CS002,Centro de Salud Tiquicheo,13.5,True,2024-06-12,True
PAC00078,Carlos,Cordero,Báez,2025-05-07,0,M,XIZE230607HQOFRLA5,685-011-6278x0557,Calzada Sur Sarabia 511 067,Vieja Liberia,Susupuato,CS002,Centro de Salud Tiquicheo,8.5,True,2021-09-12,True
PAC00079,Abelardo,Rangel,Marín,1940-01-22,85,F,QEEV980318MMCFPR02,+73(7)8000986813,Diagonal Verdugo 667 024,San Germán los bajos,Madero,CS001,Centro de Salud Tzitzio,13.6,True,2025-03-02,True
PAC00080,Ana,Bustamante,Arenas,1961-07-23,63,M,VIAF860822MOCNPA05,,"Circunvalación Suriname 196 Edif. 322 , Depto. 364",Nueva Croacia,Tiquicheo,CS003,Centro de Salud Madero,1.1,True,2023-12-15,True
PAC00081,Eugenia,Hernandes,Padrón,2014-04-14,11,M,QEMN270205MQOHPJ02,1-491-552-3946,"Calzada Altamirano 726 Edif. 947 , Depto. 282",San Porfirio de la Montaña,Tuzantla,CS001,Centro de Salud Tzitzio,9.4,True,2024-03-25,True
PAC00082,Emiliano,Luevano,Badillo,2013-05-28,12,M,IOVN540529MTLRLG02,(018)477-7322x09730,Corredor Norte Irizarry 098 Interior 061,San Juan Carlos los altos,Tzitzio,CS004,Centro de Salud Susupuato,18.7,True,2021-06-15,True
PAC00083,Nancy,Mateo,Toledo,1976-05-06,49,F,JAHM940722HASJMG02,02269982284,"Ampliación Serrato 296 Edif. 021 , Depto. 220",Vieja Angola,Madero,CS003,Centro de Salud Madero,71.8,True,2023-09-17,True
PAC00084,Eloy,Vargas,Quiñónez,1981-03-25,44,M,REQR001107MCSQCNA4,,Callejón Sur Garza 311 Interior 681,Vieja Dinamarca,Tzitzio,CS001,Centro de Salud Tzitzio,6.5,True,2024-10-14,True
PAC00085,Juan Carlos,Ontiveros,Acosta,1980-06-19,44,F,AIFZ460211MSPDRD08,,Viaducto Archuleta 848 Interior 742,Vieja Andorra,Tuzantla,CS001,Centro de Salud Tzitzio,4.6,True,2022-08-21,True
PAC00086,Iván,Esparza,Lozada,1962-11-04,62,F,YECQ550608HNEJPL09,(879)086-1382x34406,"Cerrada Montes 373 Edif. 805 , Depto. 841",Vieja Tonga,Tiquicheo,CS001,Centro de Salud Tzitzio,6.7,False,2023-11-26,True
PAC00087,María Luisa,Porras,Arce,2014-09-11,10,M,UAFY970221MVZXXO02,(417)125-3989x7269,Prolongación Iraq 089 491,San Adriana de la Montaña,Tuzantla,CS004,Centro de Salud Susupuato,36.5,True,2022-08-12,True
PAC00088,Flavio,Regalado,Urrutia,1996-09-14,28,F,COOU970608MNTXCL01,(709)645-3794x08646,"Peatonal Sur García 163 Edif. 704 , Depto. 752",San Helena los altos,Madero,CS001,Centro de Salud Tzitzio,18.1,True,2021-08-26,False
PAC00089,Joaquín,Ortiz,Alvarado,2002-12-11,22,M,CUTQ890527MVZXWZ09,140.546.6306x887,Circunvalación Kiribati 780 761,Vieja Kenya,Tzitzio,CS003,Centro de Salud Madero,6.5,True,2024-05-10,True
PAC00090,Isabela,Torres,Preciado,1983-07-06,41,F,BODZ960521MCHVZF00,,"Peatonal Juárez 353 Edif. 621 , Depto. 311",San Claudio los altos,Susupuato,CS003,Centro de Salud Madero,22.6,True,2020-10-11,True
PAC00091,Joaquín,Merino,Canales,1983-02-12,42,F,MOYK350425HQODND02,1-112-995-5629,"Viaducto Sonora 654 Edif. 186 , Depto. 421",Vieja Reino Unido de Gran Bretaña e Irlanda del Norte,Susupuato,CS005,Hospital Rural Tuzantla,13.7,True,2023-10-04,True
PAC00092,Asunción,Soliz,Marín,1974-07-15,50,M,SELJ770219MCMYDJ01,335-446-0927x80852,Eje vial Hidalgo 824 Interior 620,San Zeferino de la Montaña,Madero,CS002,Centro de Salud Tiquicheo,39.0,True,2021-09-17,True
PAC00093,María del Carmen,Llamas,Anguiano,1963-02-09,62,M,NULA540903MOCHJK01,+32(3)6774346591,Pasaje Puebla 921 921,Vieja Kirguistán,Susupuato,CS003,Centro de Salud Madero,5.2,False,2021-09-11,True
PAC00094,Gregorio,Lomeli,Razo,2016-08-16,8,M,RUBV150317MCMYQEA1,,Calle Rodríquez 576 Interior 513,San Cristobal de la Montaña,Tuzantla,CS003,Centro de Salud Madero,8.2,True,2021-01-18,True
PAC00095,Germán,Aguilera,Ordóñez,2001-05-13,24,F,HOTJ870809MMCWKJ08,1-636-248-8212x211,Boulevard Saavedra 736 074,Vieja Fiji,Susupuato,CS004,Centro de Salud Susupuato,7.6,True,2024-11-17,True
PAC00096,Angélica,Espinoza,Acuña,1975-11-07,49,F,JOQQ120717MGTJYE01,1-951-970-7891x71124,Pasaje Norte Vela 338 320,Nueva Timor-Leste,Tzitzio,CS002,Centro de Salud Tiquicheo,2.1,True,2022-12-15,True
PAC00097,Gregorio,Bueno,Verduzco,1990-12-30,34,M,YEIO350420HTSDKO08,179.641.4082,"Andador Norte Ayala 731 Edif. 969 , Depto. 119",San Guillermo los bajos,Tzitzio,CS002,Centro de Salud Tiquicheo,17.4,True,2023-10-18,True
PAC00098,Luis Miguel,Montez,Cedillo,2000-11-20,24,M,AIDW121019MDGGCJ00,036.672.0771x40342,Prolongación Vigil 897 113,Vieja Islas Marshall,Susupuato,CS002,Centro de Salud Tiquicheo,16.7,True,2020-10-16,True
PAC00099,Rebeca,Márquez,Calvillo,1966-12-11,58,M,AIGE570128MCLMKJ01,,"Diagonal Grecia 245 Edif. 291 , Depto. 049",Nueva República Democrática Popular Lao,Tiquicheo,CS004,Centro de Salud Susupuato,12.3,True,2021-05-06,True
PAC00100,Pablo,Carrillo,Tafoya,1991-03-24,34,F,AUSH041227HNLRBTA8,(601)053-8307x03863,Periférico Sudán 268 Interior 000,San Noemí de la Montaña,Tuzantla,CS003,Centro de Salud Madero,9.2,True,2023-01-05,True
PAC00101,Hermelinda,Zamora,Montoya,2022-08-16,2,M,RUZQ860625HSLTCU01,355.241.5357,"Avenida Benin 467 Edif. 448 , Depto. 337",Nueva Serbia,Madero,CS005,Hospital Rural Tuzantla,2.2,True,2020-12-16,False
PAC00102,Noemí,Castillo,Caraballo,1969-06-03,56,M,UAYS960329MCMCPR09,+85(8)1594804929,Diagonal Sur Alvarez 633 115,San Eloy los altos,Tiquicheo,CS004,Centro de Salud Susupuato,7.4,True,2022-02-28,True
PAC00103,Concepción,Suárez,Iglesias,1929-02-17,96,M,COBJ511016HBSJCK09,1-420-669-9174,"Calzada Sur Regalado 959 Edif. 688 , Depto. 777",San Delia de la Montaña,Tuzantla,CS005,Hospital Rural Tuzantla,8.1,True,2024-05-07,True
PAC00104,Anabel,Rivero,Nieves,1992-11-17,32,M,YAUK310912MCLPRM08,04844505567,Peatonal Sinaloa 661 312,Vieja Libia,Susupuato,CS002,Centro de Salud Tiquicheo,4.7,True,2024-05-28,True
PAC00105,Angélica,Padrón,Candelaria,1982-07-08,42,F,XOCN110123HNLNFC07,09872935807,Corredor Rocha 439 Interior 577,Nueva Ucrania,Madero,CS004,Centro de Salud Susupuato,10.0,True,2022-04-23,True
PAC00106,Felipe,Montemayor,Robles,1996-03-06,29,F,BITN280103MCCDZM04,1-399-010-6680x12469,"Cerrada de la Garza 323 Edif. 997 , Depto. 500",San Dulce María de la Montaña,Tiquicheo,CS002,Centro de Salud Tiquicheo,19.8,True,2025-04-16,True
PAC00107,Mariana,Trejo,Melgar,1980-06-01,45,M,HILM790708HDGSPL03,138-644-8735,Callejón Chihuahua 244 Interior 865,Nueva Lituania,Tzitzio,CS001,Centro de Salud Tzitzio,117.1,True,2025-05-31,True
PAC00108,José Luis,Vélez,Vallejo,1996-07-28,28,F,DAXF760523MSLWFI05,+15(9)0220178726,Viaducto Somalia 752 Interior 054,Nueva Myanmar,Susupuato,CS001,Centro de Salud Tzitzio,15.0,False,2022-12-09,True
PAC00109,Emilia,Barreto,Merino,1979-03-10,46,M,COFW790315MCHNPW01,,"Callejón Bolivia 646 Edif. 272 , Depto. 192",San Miguel Ángel los altos,Tuzantla,CS001,Centro de Salud Tzitzio,16.6,True,2022-05-07,True
PAC00110,Ofelia,Montaño,Domínguez,2013-07-23,11,M,QEDG171118HMNTBL03,1-350-711-8260,Eje vial Sudán 767 881,San Pablo de la Montaña,Madero,CS004,Centro de Salud Susupuato,11.1,True,2020-08-02,True
